variable,group,direct_references,reference_share_percent,referenced_files,file_coverage_percent,files
"--white","white","0","0","0","0",""
"--black","black","0","0","0","0",""
"--gray-1","gray","4","1.4337","3","8.5714","src/css/config.css:2; src/css/form.css:1; src/css/loading.css:1"
"--gray-2","gray","2","0.7168","2","5.7143","src/css/config.css:1; src/css/tag.css:1"
"--gray-3","gray","10","3.5842","4","11.4286","src/css/menu.css:4; src/css/content.css:3; src/css/config.css:2; src/css/form.css:1"
"--gray-4","gray","3","1.0753","3","8.5714","src/css/config.css:1; src/css/flow.css:1; src/css/skeleton.css:1"
"--gray-5","gray","2","0.7168","1","2.8571","src/css/menu.css:2"
"--gray-6","gray","2","0.7168","1","2.8571","src/css/content.css:2"
"--gray-7","gray","0","0","0","0",""
"--gray-8","gray","0","0","0","0",""
"--gray-9","gray","7","2.509","3","8.5714","src/css/content.css:4; src/css/breadcrumb.css:2; src/css/form.css:1"
"--gray-10","gray","3","1.0753","3","8.5714","src/css/breadcrumb.css:1; src/css/form.css:1; src/css/menu.css:1"
"--gray-11","gray","8","2.8674","5","14.2857","src/css/content.css:2; src/css/flow.css:2; src/css/form.css:2; src/css/card.css:1; src/css/modal.css:1"
"--gray-12","gray","2","0.7168","1","2.8571","src/css/config.css:2"
"--gray-a1","gray","1","0.3584","1","2.8571","src/css/offcanvas.css:1"
"--gray-a2","gray","8","2.8674","6","17.1429","src/css/config.css:2; src/css/layout.css:2; src/css/accordion.css:1; src/css/button.css:1; src/css/content.css:1; src/css/tag.css:1"
"--gray-a3","gray","9","3.2258","4","11.4286","src/css/config.css:4; src/css/content.css:2; src/css/layout.css:2; src/css/form.css:1"
"--gray-a4","gray","1","0.3584","1","2.8571","src/css/button.css:1"
"--gray-a5","gray","2","0.7168","2","5.7143","src/css/config.css:1; src/css/form.css:1"
"--gray-a6","gray","8","2.8674","3","8.5714","src/css/config.css:6; src/css/button.css:1; src/css/form.css:1"
"--gray-a7","gray","0","0","0","0",""
"--gray-a8","gray","6","2.1505","3","8.5714","src/css/form.css:4; src/css/button.css:1; src/css/tabs.css:1"
"--gray-a9","gray","2","0.7168","1","2.8571","src/css/config.css:2"
"--gray-a10","gray","0","0","0","0",""
"--gray-a11","gray","4","1.4337","3","8.5714","src/css/config.css:2; src/css/form.css:1; src/css/menu.css:1"
"--gray-a12","gray","1","0.3584","1","2.8571","src/css/tag.css:1"
"--gray-contrast","gray","0","0","0","0",""
"--gray-surface","gray","0","0","0","0",""
"--gray-indicator","gray","0","0","0","0",""
"--gray-track","gray","0","0","0","0",""
"--olive-1","olive","1","0.3584","1","2.8571","src/css/form.css:1"
"--olive-2","olive","1","0.3584","1","2.8571","src/css/config.css:1"
"--olive-3","olive","0","0","0","0",""
"--olive-4","olive","0","0","0","0",""
"--olive-5","olive","0","0","0","0",""
"--olive-6","olive","0","0","0","0",""
"--olive-7","olive","0","0","0","0",""
"--olive-8","olive","0","0","0","0",""
"--olive-9","olive","0","0","0","0",""
"--olive-10","olive","0","0","0","0",""
"--olive-11","olive","1","0.3584","1","2.8571","src/css/config.css:1"
"--olive-12","olive","0","0","0","0",""
"--olive-a1","olive","0","0","0","0",""
"--olive-a2","olive","1","0.3584","1","2.8571","src/css/config.css:1"
"--olive-a3","olive","2","0.7168","1","2.8571","src/css/config.css:2"
"--olive-a4","olive","0","0","0","0",""
"--olive-a5","olive","1","0.3584","1","2.8571","src/css/config.css:1"
"--olive-a6","olive","1","0.3584","1","2.8571","src/css/config.css:1"
"--olive-a7","olive","0","0","0","0",""
"--olive-a8","olive","0","0","0","0",""
"--olive-a9","olive","1","0.3584","1","2.8571","src/css/config.css:1"
"--olive-a10","olive","0","0","0","0",""
"--olive-a11","olive","1","0.3584","1","2.8571","src/css/config.css:1"
"--olive-a12","olive","0","0","0","0",""
"--olive-contrast","olive","0","0","0","0",""
"--olive-surface","olive","0","0","0","0",""
"--olive-indicator","olive","0","0","0","0",""
"--olive-track","olive","0","0","0","0",""
"--tomato-1","tomato","0","0","0","0",""
"--tomato-2","tomato","0","0","0","0",""
"--tomato-3","tomato","0","0","0","0",""
"--tomato-4","tomato","0","0","0","0",""
"--tomato-5","tomato","0","0","0","0",""
"--tomato-6","tomato","0","0","0","0",""
"--tomato-7","tomato","0","0","0","0",""
"--tomato-8","tomato","0","0","0","0",""
"--tomato-9","tomato","1","0.3584","1","2.8571","src/css/config.css:1"
"--tomato-10","tomato","0","0","0","0",""
"--tomato-11","tomato","0","0","0","0",""
"--tomato-12","tomato","0","0","0","0",""
"--tomato-a1","tomato","0","0","0","0",""
"--tomato-a2","tomato","1","0.3584","1","2.8571","src/css/config.css:1"
"--tomato-a3","tomato","3","1.0753","1","2.8571","src/css/config.css:3"
"--tomato-a4","tomato","0","0","0","0",""
"--tomato-a5","tomato","1","0.3584","1","2.8571","src/css/config.css:1"
"--tomato-a6","tomato","1","0.3584","1","2.8571","src/css/config.css:1"
"--tomato-a7","tomato","0","0","0","0",""
"--tomato-a8","tomato","0","0","0","0",""
"--tomato-a9","tomato","1","0.3584","1","2.8571","src/css/config.css:1"
"--tomato-a10","tomato","0","0","0","0",""
"--tomato-a11","tomato","2","0.7168","1","2.8571","src/css/config.css:2"
"--tomato-a12","tomato","0","0","0","0",""
"--tomato-contrast","tomato","1","0.3584","1","2.8571","src/css/config.css:1"
"--tomato-surface","tomato","0","0","0","0",""
"--tomato-indicator","tomato","0","0","0","0",""
"--tomato-track","tomato","0","0","0","0",""
"--ruby-1","ruby","0","0","0","0",""
"--ruby-2","ruby","0","0","0","0",""
"--ruby-3","ruby","0","0","0","0",""
"--ruby-4","ruby","0","0","0","0",""
"--ruby-5","ruby","0","0","0","0",""
"--ruby-6","ruby","0","0","0","0",""
"--ruby-7","ruby","0","0","0","0",""
"--ruby-8","ruby","0","0","0","0",""
"--ruby-9","ruby","1","0.3584","1","2.8571","src/css/config.css:1"
"--ruby-10","ruby","0","0","0","0",""
"--ruby-11","ruby","0","0","0","0",""
"--ruby-12","ruby","0","0","0","0",""
"--ruby-a1","ruby","0","0","0","0",""
"--ruby-a2","ruby","2","0.7168","2","5.7143","src/css/config.css:1; src/css/menu.css:1"
"--ruby-a3","ruby","3","1.0753","1","2.8571","src/css/config.css:3"
"--ruby-a4","ruby","0","0","0","0",""
"--ruby-a5","ruby","1","0.3584","1","2.8571","src/css/config.css:1"
"--ruby-a6","ruby","1","0.3584","1","2.8571","src/css/config.css:1"
"--ruby-a7","ruby","0","0","0","0",""
"--ruby-a8","ruby","0","0","0","0",""
"--ruby-a9","ruby","1","0.3584","1","2.8571","src/css/config.css:1"
